# Upstream Sketcher commits since merge base a662fbb2ff, upstream/main bd6be559e8 (2026-09-12).
# kind: subject-regex guess (fix/feature/refactor/noise/?). fwd/rev: git apply --check against SketcherPort at creation.
# status: have(rev)=reverse-applies, have(sync)=predates the per-file baseline of ca04ac80a1, partial(sync), open. n/a(uncompiled)=touches only sources the fork does not compile.
# decision: filled in as picks land -- taken <fork hash> | adapted <fork hash> | have | n/a | superseded | declined <why> | deferred
hash	date	author	kind	fwd	rev	status	lines	decision	subject	files
459d210f15	2024-01-25	Ajinkya Dahale	feature	1	0	open	187	taken 9b75379eb1	[planegcs][test] Add Spline and Arc tangent test	tests/App/planegcs/CMakeLists.txt tests/App/planegcs/Constraints.cpp
73434e008a	2024-01-28	Ajinkya Dahale	refactor	0	0	open	261	taken 88c9baa853	[planegcs] Simplify `GCS::BSpline::CalculateNormal()`	App/planegcs/Geo.cpp App/planegcs/Geo.h
3f1f6387d1	2024-02-03	Ajinkya Dahale	fix	0	0	have(sync)	82		[Sketcher] Handle spline selection in Dimension tool	Gui/CommandConstraints.cpp
c4720e56c1	2023-11-03	Paddle	noise	0	0	partial(sync)	1425		Translate DSH : A replacement for rectangular array.	Gui/CMakeLists.txt Gui/CommandSketcherTools.cpp Gui/DrawSketchHandlerTranslate.h Gui/Resources/Sketcher.qrc Gui/Resources/icons/pointers/Sketcher_Pointer_Create_Translate.svg Gui/Resources/icons/tools/Sketcher_Translate.svg Gui/Workbench.cpp
f8b57283e5	2023-11-03	Paddle	feature	0	0	have(sync)	6		Remove Copy/clone/move and RectangularArray from the toolbar/menu. But does not remove the code of these.	Gui/Workbench.cpp
b3e4bf1031	2024-02-06	PaddleStroke	fix	0	0	partial(sync)	71		Sketcher: DSH: add two shortcuts for DSH to use. Fix a small syntax error in polygon/rotate.	Gui/DrawSketchControllableHandler.h Gui/DrawSketchController.h Gui/DrawSketchDefaultWidgetController.h Gui/DrawSketchHandlerPolygon.h Gui/DrawSketchHandlerRotate.h Gui/DrawSketchHandlerTranslate.h
b7656abfc5	2024-02-06	PaddleStroke	feature	0	0	have(sync)	194		Sketcher: change DSH framework so that tab cycle through OVP and widget parameters.	Gui/DrawSketchController.h Gui/DrawSketchDefaultWidgetController.h Gui/SketcherToolDefaultWidget.cpp Gui/SketcherToolDefaultWidget.h
4164919e58	2024-01-27	Max Wilfinger	?	0	0	have(sync)	157		Improvements to contextual right click menu in Sketcher. Consider preselection, external geo and copy/cut/paste commands.	Gui/ViewProviderSketch.cpp Gui/ViewProviderSketch.h
f06bcf3163	2024-01-30	PaddleStroke	?	0	1	have(rev)	37		Sketcher: Parallel: Ignore selected points instead of throwing an error.	Gui/CommandConstraints.cpp
ada76964c3	2024-01-30	PaddleStroke	refactor	0	1	have(rev)	92		Sketcher: CommandConstraint.cpp : modernize for loops and use some auto	Gui/CommandConstraints.cpp
df7e783513	2024-02-07	wmayer	noise	0	0	partial(sync)	12	partial 88c9baa853: App/PythonConverter.cpp Gui/ViewProviderSketch.cpp	Mod: fix several compiler warnings: * fix -Wsometimes-uninitialized * fix -Wunused-parameter * fix -Wunused-variable * fix -Winconsistent-missing-override * fix -Wsign-compare * fix -Wreorder-ctor * fix -Wtautological-overlap-compare	App/PythonConverter.cpp App/Sketch.cpp Gui/SketcherSettings.ui Gui/ViewProviderSketch.cpp
aa977648c3	2024-02-08	LemonBoy	fix	0	1	have(rev)	24		Fix icon order in constraint menu	Gui/CommandConstraints.cpp
e135f68e8a	2024-02-12	Max Wilfinger	noise	0	0	have(sync)	12		add new Sketcher commands translate and scale to context menu	Gui/ViewProviderSketch.cpp
c5d462a3d9	2024-02-13	Ajinkya Dahale	fix	0	0	open	10	taken 9b75379eb1	[planegcs][test] Fix issue in arc-B-spline tangent test	tests/App/planegcs/Constraints.cpp
e20a07653c	2024-02-13	Huba Czine	?	1	0	open	104		Update icons for Sketcher_ToggleConstruction & Sketcher_ToggleConstruction_Constr	Gui/Resources/icons/geometry/Sketcher_ToggleConstruction.svg Gui/Resources/icons/geometry/Sketcher_ToggleConstruction_Constr.svg
7a025e4e60	2024-02-14	czinehuba	?	0	0	open	72		Updated space in dashed lines	Gui/Resources/icons/geometry/Sketcher_ToggleConstruction.svg Gui/Resources/icons/geometry/Sketcher_ToggleConstruction_Constr.svg
3e47de6d92	2024-02-19	Max Wilfinger	noise	1	0	open	4		fix typo in polygon task dialog	Gui/SketcherRegularPolygonDialog.ui
a2315503fa	2024-02-22	wmayer	?	1	0	partial(sync)	223	partial 88c9baa853: App/ConstraintPy.xml App/SketchObject.cpp App/SketchObject.h App/SketchObjectPy.xml App/SketchObjectPyImp.cpp	Sketcher: expose the LabelDistance and LabelPosition members of Constraint to Python	App/ConstraintPy.xml App/ConstraintPyImp.cpp App/SketchObject.cpp App/SketchObject.h App/SketchObjectPy.xml App/SketchObjectPyImp.cpp
53b512da1c	2024-02-23	wmayer	noise	0	0	open	6	partial 88c9baa853: Gui/TaskSketcherElements.cpp	MSVC: fix compiler warnings	App/planegcs/Geo.h Gui/TaskSketcherElements.cpp
a38e73135e	2024-02-25	wmayer	fix	0	0	have(sync)	59		Sketcher: fixes #12343: Undo/Redo for sketcher constraints doesn't work correctly	Gui/ViewProviderSketch.cpp Gui/ViewProviderSketch.h
51a01b9e2b	2024-02-19	wmayer	noise	0	0	have(sync)	6		Fix compiler warnings: fix [-Winconsistent-missing-override] fix [-Wunused-lambda-capture] fix [-Wunused-variable] fix [-Wswitch]	Gui/CommandConstraints.cpp Gui/ViewProviderSketch.cpp
5539ef625c	2024-02-25	Ajinkya Dahale	feature	0	0	open	161	taken 88c9baa853	[planegcs] Add `ConstraintAngleViaTwoPoints`	App/planegcs/Constraints.cpp App/planegcs/Constraints.h App/planegcs/GCS.cpp App/planegcs/GCS.h
d1c9370614	2024-02-25	Ajinkya Dahale	refactor	0	0	open	7	taken 88c9baa853	[Sketcher] Use angle-via-two-points in e2e with BSplines	App/Sketch.cpp
f8f159c4d3	2024-02-27	Ajinkya Dahale	?	1	0	have(sync)	14		[Sketcher] Include endpoint-to-endpoint tangency as coincidence	App/SketchObject.cpp
da7d5391af	2023-04-14	Ajinkya Dahale	?	1	0	partial(sync)	62	partial d8d462426e: rest in App/SketchObjectPyImp.cpp Gui/CommandSketcherBSpline.cpp	[Sketcher] Join curves with C1 continuity	App/SketchObject.cpp App/SketchObject.h App/SketchObjectPyImp.cpp Gui/CommandSketcherBSpline.cpp
f88f48f64f	2024-02-27	Ed Williams	?	1	0	open	16		Change the calculation of the b parameter of the hyperbolic arc (#12467)	Gui/DrawSketchHandlerArcOfHyperbola.h
dfa1b94c83	2024-02-12	PaddleStroke	?	1	0	have(sync)	46		Sketcher: Line DSH: Harmonize width/length behavior with rectangle.	Gui/DrawSketchHandlerLine.h
86726f21b7	2024-02-28	Roy-043	?	0	0	open	2		Sketcher: Change Sketcher_CreatePointFillet button text to match menu text	Gui/CommandCreateGeo.cpp
6a3c689d40	2024-02-28	pre-commit-ci[bot]	noise	0	0	open	4		[pre-commit.ci] auto fixes from pre-commit.com hooks	Gui/CommandCreateGeo.cpp
5cc566bb98	2024-02-28	Roy-043	?	1	0	have(sync)	8		Sketcher: improve GUI texts for rectangles	Gui/DrawSketchHandlerRectangle.h
8f1b8b1f1f	2024-02-28	pre-commit-ci[bot]	noise	0	0	have(sync)	5		[pre-commit.ci] auto fixes from pre-commit.com hooks	Gui/DrawSketchHandlerRectangle.h
dcc41bf80c	2024-02-28	Roy-043	?	0	0	partial(sync)	42		Sketcher: improve GUI texts for arcs and conics	Gui/CommandCreateGeo.cpp Gui/DrawSketchHandlerEllipse.h
5829c3a058	2024-02-28	pre-commit-ci[bot]	noise	0	0	open	51		[pre-commit.ci] auto fixes from pre-commit.com hooks	Gui/CommandCreateGeo.cpp
8145eed95f	2024-02-29	Roy-043	?	0	0	partial(sync)	36		Sketcher: Sketcher_ConstrainHorizontal before Sketcher_ConstrainVertical in GUI	Gui/TaskSketcherElements.cpp Gui/ViewProviderSketch.cpp Gui/Workbench.cpp
4e29ce1fcf	2024-03-02	Max	feature	0	0	have(sync)	4		add description of colinear function to Sketcher_ConstrainTangent	Gui/CommandConstraints.cpp
a8ae56e06a	2024-03-02	Josh Coalson	fix	0	0	partial(sync)	30		Part: Rename AttachExtension::Support property to AttachmentSupport, to avoid name conflict with base features.  Fixes #7052	App/SketchObject.cpp Gui/Command.cpp Gui/CommandConstraints.cpp Gui/ViewProviderSketch.cpp
8743f5e82a	2024-03-04	wmayer	noise	0	0	have(sync)	10		Sketch: fix compiler warning	App/SketchObject.cpp
e4d304f934	2024-01-21	Ladislav Michl	feature	1	0	open	26	taken 88c9baa853	Base: Implement TimeElapsed	App/Sketch.cpp App/planegcs/GCS.cpp
988391fe22	2024-03-04	Chris Hennes	noise	1	0	have(sync)	1		Sketcher: Fix missing translation of 'Sketcher visual'	Gui/Workbench.cpp
5d1564fec5	2024-03-05	wmayer	fix	1	0	n/a(uncompiled)	8		Sketcher: fix crash when trying to edit malformed sketch	Gui/EditModeConstraintCoinManager.cpp
9961f2949a	2024-03-11	xtemp09	fix	0	0	have(sync)	5		Fix segmentation fault in Sketcher	Gui/ViewProviderSketch.cpp
d56a051c4c	2024-03-03	Chris Hennes	noise	0	0	have(sync)	9		Sketcher: Translate menu entries for rectangle spec	Gui/DrawSketchHandlerRectangle.h
b0fab6ec79	2024-03-03	Chris Hennes	noise	0	0	have(sync)	21		Sketcher: Fix missing translations in DSH tools	Gui/DrawSketchHandlerArc.h Gui/DrawSketchHandlerArcSlot.h Gui/DrawSketchHandlerCircle.h Gui/DrawSketchHandlerEllipse.h Gui/DrawSketchHandlerLine.h Gui/DrawSketchHandlerOffset.h
46e2c45e2e	2024-03-04	Chris Hennes	noise	1	0	open	3		Sketcher: Translate QWidgetAction items	Gui/Command.cpp
18f6abb3c0	2024-03-08	Roy-043	fix	0	0	partial(sync)	28		Sketcher: correct position of ConstrainLock and ConstrainRadiam in GUI	Gui/TaskSketcherElements.cpp Gui/Workbench.cpp
d9fc266772	2024-03-12	Chris Hennes	noise	0	0	partial(sync)	12		Sketcher: Remove trailing spaces from translations	Gui/TaskSketcherConstraints.cpp Gui/ViewProviderSketch.cpp
fc8f93d437	2024-03-16	wmayer	fix	0	0	have(sync)	14		Sketch: fixes #12480: Sketcher_CreateBSplineByInterpolation Unhandled unknown C++ exception	Gui/DrawSketchHandlerBSplineByInterpolation.h
a7b78530da	2024-02-27	PaddleStroke	noise	0	0	have(sync)	25		DrawSketchController: Fix crazy focus behavior in tool widget (see in the translate tool).	Gui/DrawSketchController.h Gui/DrawSketchDefaultWidgetController.h Gui/SketcherToolDefaultWidget.cpp
65da0c1d6f	2024-03-18	PaddleStroke	refactor	0	0	have(sync)	23		Sketcher: Rename 'FocusOut' signal to 'TabOrEnterPressed'	Gui/DrawSketchDefaultWidgetController.h Gui/SketcherToolDefaultWidget.cpp Gui/SketcherToolDefaultWidget.h
9d43e7fda7	2024-03-12	PaddleStroke	fix	0	0	have(sync)	2		Sketcher : fix error in className of CmdSketcherCompHorizontalVertical	Gui/CommandConstraints.cpp
b3fe5bba28	2024-03-12	PaddleStroke	feature	0	0	partial(sync)	1738		Sketcher: Chamfer tool (and fillet refactor)	App/SketchObject.cpp App/SketchObject.h App/SketchObjectPyImp.cpp Gui/CommandCreateGeo.cpp Gui/DrawSketchHandlerFillet.h Gui/Resources/Sketcher.qrc Gui/Resources/icons/geometry/Sketcher_CreateChamfer.svg Gui/Resources/icons/pointers/Sketcher_Pointer_Create_Chamfer.svg Gui/Resources/icons/pointers/Sk
4ca8e3b283	2024-03-12	Max Wilfinger	feature	0	0	have(sync)	3		add constraint perpendicular to the context menu if a conic and line is selected.	Gui/ViewProviderSketch.cpp
5839134e95	2024-03-18	luzpaz	noise	0	0	partial(sync)	4	partial 88c9baa853: Gui/ViewProviderSketch.cpp	Fix various typos throughout the codebase (#13029)	App/planegcs/Geo.h Gui/ViewProviderSketch.cpp
4f429e3288	2024-03-19	wmayer	fix	0	0	open	21		"Fixes #12186: Two new Sketcher preferences should show ""Restart required"" popup"	Gui/SketcherSettings.cpp Gui/SketcherSettings.h
e4213fc10f	2024-02-16	PaddleStroke	feature	0	0	partial(sync)	1214		Sketcher: Symmetry tool rework.	App/SketchObject.cpp App/SketchObject.h Gui/CMakeLists.txt Gui/CommandSketcherTools.cpp Gui/DrawSketchHandlerSymmetry.h Gui/Resources/Sketcher.qrc Gui/Resources/icons/pointers/Sketcher_Pointer_Create_Symmetry.svg
a8254a4e0c	2024-02-24	Florian Foinant-Willig	?	0	0	partial(sync)	171	partial 88c9baa853: Gui/CommandConstraints.cpp	Sketcher : ArcLength Constraint	App/Sketch.cpp App/planegcs/Constraints.cpp App/planegcs/Constraints.h App/planegcs/GCS.cpp App/planegcs/GCS.h App/planegcs/Geo.h Gui/CommandConstraints.cpp
646b4381f9	2024-02-25	Florian Foinant-Willig	?	0	0	partial(sync)	85		Sketcher: ArcLength GUI	Gui/EditModeConstraintCoinManager.cpp Gui/ViewProviderSketch.cpp
ab7c1423fb	2024-03-11	Florian Foinant-Willig	fix	0	0	open	4	taken 88c9baa853	fix undeclared M_PI	App/planegcs/Constraints.cpp
f19df465ea	2024-03-21	Zheng, Lei	?	0	0	have(sync)	47		Toponaming/Part: Move sketcher override of getElementName over	App/SketchObject.cpp App/SketchObject.h
55acedb83d	2024-03-24	bgbsww	feature	0	0	partial(sync)	94		Clean, enable disabled element map code in sketcher, add tests	App/SketchObject.cpp tests/App/SketchObject.cpp
a7251a6c3a	2024-03-25	Roy-043	noise	0	0	partial(sync)	14		Sketcher: Spelling colinear -> collinear	Gui/CommandConstraints.cpp Gui/DrawSketchHandlerArc.h Gui/DrawSketchHandlerCircle.h Gui/EditModeConstraintCoinManager.cpp SketcherTests/TestSketchFillet.py
4c9b21d003	2024-03-26	wmayer	noise	0	0	have(sync)	16		Sketcher: fix typo in function name -> areCollinear	Gui/DrawSketchHandlerArc.h Gui/DrawSketchHandlerCircle.h Gui/DrawSketchHandlerEllipse.h Gui/Utils.cpp Gui/Utils.h
4df1088896	2024-03-27	bgbsww	fix	1	0	have(sync)	5		Toponaming/Part: Bug fix for #13169 while we sort this out	App/SketchObject.cpp
beb66d3cfb	2024-03-19	Roy-043	?	0	0	open	2		Sketcher: Improve menu text of Sketcher_MapSketch	Gui/Command.cpp
6ca8b2daae	2024-03-23	Max Wilfinger	?	0	0	partial(sync)	418		update hardcoded XPMs to .svg files. Updated .svg icons for clarity.	Gui/Resources/Sketcher.qrc Gui/Resources/icons/Sketcher_NotFullyConstrained.svg Gui/ViewProviderSketch.cpp
da7ee06d67	2024-03-30	ppphp	fix	0	0	have(sync)	2		fix: c++20 deprecate [=]	Gui/DrawSketchController.h
c014ab7a4e	2024-03-30	ppphp	fix	0	1	have(rev)	1		fix: some unuse argument warning	Gui/DrawSketchHandlerSymmetry.h
b5fa008272	2024-03-30	pre-commit-ci[bot]	noise	0	1	have(rev)	10		[pre-commit.ci] auto fixes from pre-commit.com hooks	Gui/DrawSketchController.h
6c0865a7b9	2024-03-31	Roy-043	refactor	1	0	open	4		Sketcher: Rename Sketcher_BSplineApproximate.svg	Gui/CommandSketcherBSpline.cpp Gui/Resources/Sketcher.qrc Gui/Resources/icons/splines/{Sketcher_BSplineApproximate.svg => Sketcher_BSplineConvertToNURBS.svg}
5668b6952b	2024-03-28	PaddleStroke	fix	1	0	have(sync)	82		Sketcher: Chamfer Fix #13049	App/SketchObject.cpp
64054d13c4	2024-03-25	PaddleStroke	feature	0	0	open	104		Sketcher: Add line mid-point auto-constraint	Gui/DrawSketchDefaultHandler.h Gui/DrawSketchHandler.cpp
c26f52c4e4	2024-03-26	PaddleStroke	fix	0	1	have(rev)	5		Sketcher: Symmetry fix #13164	App/SketchObject.cpp Gui/DrawSketchHandlerSymmetry.h
581dee4d48	2024-03-28	PaddleStroke	fix	0	0	open	22		Sketcher: Fixes #13181	Gui/CommandAlterGeometry.cpp Gui/CommandCreateGeo.cpp Gui/Resources/Sketcher.qrc Gui/Resources/icons/geometry/{Sketcher_Create_Periodic_BSplineByInterpolation.svg => Sketcher_CreatePeriodicBSplineByInterpolation.svg} Gui/Resources/icons/geometry/{Sketcher_Create_Periodic_BSplineByInterpolation_Const
d92267c6a7	2024-04-03	wmayer	noise	0	0	have(sync)	5		Fix several compiler warnings	Gui/DrawSketchHandlerSymmetry.h Gui/ViewProviderSketch.cpp
ba27d6d92d	2024-04-03	wmayer	feature	0	0	have(sync)	4		Part: Add overloaded methods of GeomBSplineCurve::approximate	App/SketchObject.cpp
6779c912bf	2024-04-04	CalligaroV	fix	0	0	open	9	n/a: an #ifndef FC_USE_TNP_FIX fallback in App/GeoFeature; the fork is the TNP fix, no fallback path	App/Toponaming: GeoFeature - fixes #13009 - fixes #13248  * Restored previous logic of GeoFeature::getElementName()  * Added precompiler directive to use the old logic if FC_USE_TNP_FIX isn't defined, otherwise use the new logic  * Reworked SketchObjectTest::getElementName() as a consequence of the previous points	tests/App/SketchObject.cpp
5efc44d56a	2024-03-28	PaddleStroke	noise	0	1	have(rev)	5		Sketcher: Translate Fixes #13189 horizontal/vertical lost.	Gui/DrawSketchHandlerTranslate.h
81fcfa1dbe	2024-03-22	PaddleStroke	?	1	0	have(sync)	6		Sketcher: Point DSH: take construction mode into account.	Gui/DrawSketchHandlerPoint.h
f5da655429	2024-03-22	PaddleStroke	?	0	0	open	125		Sketcher: Points color reflect their construction state. Remove Vertex color.	Gui/EditModeCoinManager.cpp Gui/EditModeCoinManagerParameters.cpp Gui/EditModeCoinManagerParameters.h Gui/EditModeGeometryCoinConverter.cpp Gui/EditModeGeometryCoinManager.cpp Gui/SketcherSettings.cpp Gui/SketcherSettingsAppearance.ui
c42b1f1654	2024-03-22	PaddleStroke	?	0	0	n/a(uncompiled)	119		Sketcher: Make coincident points the same color as constraints.	Gui/EditModeCoinManagerParameters.h Gui/EditModeGeometryCoinManager.cpp
0fcaf5ccae	2024-03-27	PaddleStroke	fix	1	0	have(sync)	147		Sketcher: Rectangle DSH Fixes #12297	Gui/DrawSketchHandlerRectangle.h
33abd923b3	2024-03-30	Max Wilfinger	feature	0	0	have(sync)	58		Update Sketcher context menu. Refine poposed constraints on point selection. Add symmetry constraint to context menu. Rearrange commands to be consistent with the toolbar.	Gui/ViewProviderSketch.cpp Gui/Workbench.cpp
b64e3e750f	2024-04-03	wmayer	feature	0	0	have(sync)	57		Sketch: add command to context-menu to change value of constraint	Gui/CommandConstraints.cpp Gui/ViewProviderSketch.cpp
c9d8bdf13d	2024-04-07	bgbsww	feature	0	0	have(sync)	30		Toponaming/Part: Add deprecation comments, clean up code	App/SketchObject.cpp
a88e7baff5	2024-04-13	bgbsww	fix	0	0	have(sync)	2		TopoShape/Part:  Bug fixes; pass Hasher parms, OCCT 7.8 compatibility, ElementMaps correct item count	App/SketchObject.cpp
4b968a607d	2024-03-28	PaddleStroke	fix	0	0	open	142		Sketcher: Trim tool, hold click and move. Fixes #6152	Gui/DrawSketchHandlerTrimming.h
