# Upstream commits since a662fbb2ff touching src/Mod/PartDesign tests/src/Mod/PartDesign src/Gui/Inventor/Draggers src/Mod/Part/App/GizmoHelper, tip 3383e9119f.
# kind: subject-regex guess (fix/feature/refactor/noise/?). family: gizmo = touches the gizmo sources or says gizmo/dragger.
# fwd/rev: git apply --check against the branch at creation. status: have(rev)=reverse-applies, open.
# decision: taken <fork hash> | adapted <fork hash> | have | n/a | superseded | declined <why> | deferred
hash	date	author	kind	family	fwd	rev	status	lines	decision	subject	files
24c138373c	2024-02-17	Andre Althaus	refactor		0	0	open	894		Move duplicated code to the base class	Gui/TaskLinearPatternParameters.cpp Gui/TaskLinearPatternParameters.h Gui/TaskMirroredParameters.cpp Gui/TaskMirroredParameters.h Gui/TaskMultiTransformParameters.cpp Gui/TaskMultiTransformParameters.h Gui/TaskPolarPatternParameters.cpp Gui/TaskPolarPatternParameters.h Gui/TaskScaledParameters.cpp Gui/TaskScaledParameters.h Gui/TaskTransformedParameters.cpp Gui/TaskTransformedParameters.h
ab7dd607a5	2024-02-17	Andre Althaus	refactor		0	0	open	39		Refactor: replace enum with enum class	Gui/TaskLinearPatternParameters.cpp Gui/TaskMirroredParameters.cpp Gui/TaskPolarPatternParameters.cpp Gui/TaskTransformedParameters.cpp Gui/TaskTransformedParameters.h
4ae184706d	2024-02-17	Andre Althaus	refactor		0	0	open	48		Refactor: add default member initializers	Gui/TaskLinearPatternParameters.h Gui/TaskMultiTransformParameters.cpp Gui/TaskMultiTransformParameters.h Gui/TaskPolarPatternParameters.h Gui/TaskTransformedParameters.cpp Gui/TaskTransformedParameters.h
77bcd7e50f	2024-02-17	Andre Althaus	refactor		0	0	open	40		Refactor: remove unused functions	Gui/TaskLinearPatternParameters.h Gui/TaskMirroredParameters.h Gui/TaskMultiTransformParameters.cpp Gui/TaskMultiTransformParameters.h Gui/TaskPolarPatternParameters.h Gui/TaskScaledParameters.cpp Gui/TaskScaledParameters.h Gui/TaskTransformedParameters.cpp Gui/TaskTransformedParameters.h
48d9a8da86	2024-02-17	Andre Althaus	refactor		0	0	open	215		Refactor: optimize member access specifiers	Gui/TaskLinearPatternParameters.h Gui/TaskMirroredParameters.h Gui/TaskMultiTransformParameters.h Gui/TaskPolarPatternParameters.h Gui/TaskScaledParameters.h Gui/TaskTransformedParameters.h
fd4bea24b7	2024-02-17	Andre Althaus	fix		0	0	open	137	deferred (Linear/Polar pattern OK never calls apply(): TaskDlgTransformedParameters::ac...)	Fix apply() method not called consistently	Gui/TaskLinearPatternParameters.cpp Gui/TaskLinearPatternParameters.h Gui/TaskMirroredParameters.cpp Gui/TaskMirroredParameters.h Gui/TaskMultiTransformParameters.cpp Gui/TaskMultiTransformParameters.h Gui/TaskPolarPatternParameters.cpp Gui/TaskPolarPatternParameters.h Gui/TaskScaledParameters.cpp Gui/TaskScaledParameters.h Gui/TaskTransformedParameters.cpp Gui/TaskTransformedParameters.h
bb25074076	2024-02-17	Andre Althaus	noise		0	0	open	1342		Reformat files with clang-format	Gui/TaskLinearPatternParameters.cpp Gui/TaskLinearPatternParameters.h Gui/TaskMirroredParameters.cpp Gui/TaskMirroredParameters.h Gui/TaskMultiTransformParameters.cpp Gui/TaskMultiTransformParameters.h Gui/TaskPolarPatternParameters.cpp Gui/TaskPolarPatternParameters.h Gui/TaskScaledParameters.cpp Gui/TaskScaledParameters.h Gui/TaskTransformedParameters.cpp Gui/TaskTransformedParameters.h
1c8ca27f28	2024-02-08	LemonBoy	?		1	0	open	11		Preserve object order when moving them	Gui/CommandBody.cpp
7bbca2f00d	2024-02-21	Andre Althaus	fix		0	0	open	7	n/a (Fork's closeSubTask never calls subTask->apply())	Fix crash when canceling the MultiTransform panel while a newly cretated subfeature is edited	Gui/TaskMultiTransformParameters.cpp
b301816889	2024-02-21	Andre Althaus	refactor		0	0	open	33		Refactor the apply function to be virtual public	Gui/TaskLinearPatternParameters.cpp Gui/TaskLinearPatternParameters.h Gui/TaskMirroredParameters.cpp Gui/TaskMirroredParameters.h Gui/TaskMultiTransformParameters.cpp Gui/TaskMultiTransformParameters.h Gui/TaskPolarPatternParameters.cpp Gui/TaskPolarPatternParameters.h Gui/TaskScaledParameters.cpp Gui/TaskScaledParameters.h Gui/TaskTransformedParameters.h
53b512da1c	2024-02-23	wmayer	noise		0	0	open	2		MSVC: fix compiler warnings	App/Feature.cpp
d7a95b4e90	2024-01-30	Florian Foinant-Willig	?		0	0	open	7		PartDesign_Helix: use computed wires	App/FeatureHelix.cpp
74dc66f6f2	2024-02-26	LemonBoy	?		0	0	open	28		PD: Make datum points highlightable/selectable (#12439)	Gui/ViewProviderDatumPoint.cpp
8173e4474b	2024-02-27	wmayer	fix		0	0	open	6	n/a (Test-only)	Tests: use the correct value as reference	PartDesignTests/TestHelix.py
b1f9e9f805	2024-02-28	Andre Althaus	noise		0	0	open	295		Fix linter hints	Gui/TaskLinearPatternParameters.cpp Gui/TaskLinearPatternParameters.h Gui/TaskMirroredParameters.cpp Gui/TaskMirroredParameters.h Gui/TaskMultiTransformParameters.cpp Gui/TaskMultiTransformParameters.h Gui/TaskPolarPatternParameters.cpp Gui/TaskPolarPatternParameters.h Gui/TaskScaledParameters.cpp Gui/TaskScaledParameters.h Gui/TaskTransformedParameters.cpp Gui/TaskTransformedParameters.h
0bdd72e7e7	2024-02-28	Andre Althaus	?		0	0	open	12		Use the isDerived<>() Template function	Gui/TaskLinearPatternParameters.cpp Gui/TaskMirroredParameters.cpp Gui/TaskPolarPatternParameters.cpp Gui/TaskTransformedParameters.cpp
a76aead05e	2024-02-28	Andre Althaus	fix		0	0	open	52	superseded (upstream reverted it, af0f263179)	Fix reference selection code	Gui/TaskLinearPatternParameters.cpp Gui/TaskMirroredParameters.cpp Gui/TaskPolarPatternParameters.cpp
dac2fb4d3d	2024-02-28	Chris Hennes	noise		0	0	open	13		PD: Correct typo in pattern parameters	Gui/TaskLinearPatternParameters.h Gui/TaskMultiTransformParameters.h Gui/TaskPolarPatternParameters.h Gui/TaskScaledParameters.h Gui/TaskTransformedParameters.h
677cadee5e	2024-02-14	Florian Foinant-Willig	?		0	0	open	19		PD: Use SuppressibleExtension	App/Feature.cpp App/Feature.h App/FeatureBoolean.cpp Gui/ViewProvider.cpp Gui/ViewProvider.h
a8ae56e06a	2024-03-02	Josh Coalson	fix		0	0	open	116	have (Fork did the rename itself in 0191f4edf1 (2022))	Part: Rename AttachExtension::Support property to AttachmentSupport, to avoid name conflict with base features.  Fixes #7052	App/DatumLine.cpp App/FeaturePrimitive.cpp App/FeaturePrimitive.h App/FeatureSketchBased.cpp Gui/Command.cpp Gui/CommandBody.cpp Gui/SketchWorkflow.cpp Gui/TaskDatumParameters.cpp Gui/TaskFeaturePick.cpp Gui/Utils.cpp PartDesignTests/TestDatum.py PartDesignTests/TestDraft.py PartDesignTests/TestHelix.py PartDesignTests/TestHole.py PartDesignTests/TestLoft.py PartDesignTests/TestPad.py PartDesignTests/TestPipe.py PartDesignTests/TestPocket.py PartDesignTests/TestShapeBinder.py TestPartDesignGui.py
e91c16aae1	2024-03-03	Chris Hennes	noise		1	0	open	30		PD: Translate shaft end types	WizardShaft/Shaft.py WizardShaft/WizardShaftTable.py
9dac8385f6	2024-03-11	Chris Hennes	noise		1	0	open	3		Fix missing translations in task panel (#12738)	Gui/Workbench.cpp
af0f263179	2024-03-12	Andre Althaus	fix		0	0	open	15	n/a (Regression from upstream's TaskTransformed rework)	Fix regression in pattern reference selection	Gui/TaskLinearPatternParameters.cpp Gui/TaskMirroredParameters.cpp Gui/TaskPolarPatternParameters.cpp
41de357e8f	2024-03-20	wmayer	fix		0	0	open	70	taken 4d981cd8b4	Issue #11989: Segfault on "Move Object to Other Body"	Gui/Utils.cpp
46c32a8c1b	2024-03-20	bgbsww	feature		1	0	open	103		Add c++ testing framework for PartDesign, ShapeBinder	tests/src/Mod/PartDesign/App/CMakeLists.txt tests/src/Mod/PartDesign/App/ShapeBinder.cpp tests/src/Mod/PartDesign/CMakeLists.txt
105c3363b8	2024-03-21	Zheng, Lei	refactor		0	0	open	2		Toponaming/Part: Move missed attacher code into place	Gui/Command.cpp
edec3b6280	2024-03-21	wmayer	fix		0	0	open	69	n/a (Test-only gtest for an upstream attacher regression)	tests: Test case for issue #13055	tests/src/Mod/PartDesign/App/CMakeLists.txt tests/src/Mod/PartDesign/App/DatumPlane.cpp
c7d85ff9d9	2024-03-25	Florian Foinant-Willig	fix		0	0	open	96	deferred (Fork helix cone ~3% low (testCone 3.7757e5 vs 3.8828e5))	[PartDesign] Still a helix fix (#12977)	App/FeatureHelix.cpp App/FeatureHelix.h PartDesignTests/TestHelix.py
c3409fa424	2024-03-16	Max Wilfinger	fix		0	0	open	11	have (Workbench::setupContextMenu chains to StdWorkbench for Tree (Workbench.cpp:221))	add missing commands to tree context menu to be consistent with other WBs	Gui/Workbench.cpp
6ca8b2daae	2024-03-23	Max Wilfinger	?		0	0	open	414		update hardcoded XPMs to .svg files. Updated .svg icons for clarity.	Gui/Resources/PartDesign.qrc Gui/Resources/icons/PartDesign_Overlay_Tip.svg Gui/ViewProvider.cpp
da7ee06d67	2024-03-30	ppphp	fix		1	0	open	2	declined (Deprecation-warning only ([=] captures))	fix: c++20 deprecate [=]	Gui/TaskShapeBinder.cpp
ede1ccc191	2024-03-31	wmayer	refactor		0	0	open	174		PD: refactor Mirrored::getTransformations	App/FeatureMirrored.cpp App/FeatureMirrored.h
7d10f5ed73	2024-03-31	wmayer	?		0	0	open	24		PD: Mirror feature should be more permissive	App/FeatureMirrored.cpp App/FeatureTransformed.cpp
3604e57d6d	2024-04-01	Andre	feature		0	0	open	69		Allow adding subfeatures to MultiTransform if there is no active Body (#12538)	Gui/TaskMultiTransformParameters.cpp Gui/TaskTransformedParameters.h
79f9da420c	2024-03-25	Andre Althaus	?		0	0	open	9		Ignore suppressed features in patterns	App/FeatureTransformed.cpp
eaf1e7ecee	2024-03-23	Max Wilfinger	?		1	0	open	3475		adjust Part Design icons incl. WB icon	Gui/Resources/icons/PartDesignWorkbench.svg Gui/Resources/icons/PartDesign_BaseFeature.svg Gui/Resources/icons/PartDesign_Hole.svg Gui/Resources/icons/PartDesign_InternalExternalGear.svg Gui/Resources/icons/PartDesign_InvoluteGear.svg Gui/Resources/icons/PartDesign_Migrate.svg Gui/Resources/icons/PartDesign_MoveFeature.svg Gui/Resources/icons/PartDesign_MoveTip.svg Gui/Resources/icons/PartDesign_Point.svg Gui/Resources/icons/PartDesign_Sprocket.svg
a7470332f7	2024-04-02	wmayer	refactor		0	0	open	10		PD: replace static_cast with dynamic_cast	Gui/TaskMultiTransformParameters.cpp
3b39c0885b	2024-04-01	wmayer	fix		0	0	open	2	n/a (Fork's SubShapeBinder VP menu uses lambdas)	PD: Fixes 12673: Transforming of sub-shape binder fails	Gui/ViewProviderShapeBinder.h
252707a803	2024-04-03	bgbsww	feature		0	0	open	154		Add an initial test to show TNP (#13233)	CMakeLists.txt PartDesignTests/TestTopologicalNamingProblem.py PartDesignTests/__init__.py TestPartDesignApp.py
495a96a0f5	2024-03-17	David Carter	?		0	0	open	19		Material: Material appearance	Gui/Command.cpp Gui/CommandPrimitive.cpp Gui/ViewProviderDatum.cpp Gui/ViewProviderDressUp.cpp Gui/ViewProviderShapeBinder.cpp Gui/Workbench.cpp
14ed89f903	2024-04-05	wmayer	feature		0	0	open	2		Material: add workbench manipulator	Gui/Workbench.cpp
3a34fe080a	2024-04-09	wmayer	fix		1	0	open	84		Mod: Show regressions in shape colouring	TestPartDesignGui.py
780481f6ed	2024-04-06	wmayer	fix		0	0	open	16	n/a (Fork's appearance applies the material card only while following it)	PD: fix shape appearance of datum features, shape binder and sub-shape binder	Gui/ViewProviderDatum.cpp Gui/ViewProviderShapeBinder.cpp Gui/ViewProviderShapeBinder.h
83ea7e4355	2024-04-08	bgbsww	?		0	0	open	519		Upgrade Toponaming tests	PartDesignTests/TestTopologicalNamingProblem.py
82c3e107d7	2024-04-07	Zheng, Lei	?		0	0	open	681		TopoShape/Part: Bring in PartDesign dependencies	App/Feature.cpp App/Feature.h App/FeatureAddSub.cpp App/FeatureAddSub.h App/FeatureExtrude.cpp App/FeatureExtrude.h App/FeatureSketchBased.cpp App/FeatureSketchBased.h
c9d8bdf13d	2024-04-07	bgbsww	noise		0	0	open	728		Toponaming/Part: Add deprecation comments, clean up code	App/Feature.cpp App/Feature.h App/FeatureAddSub.cpp App/FeatureAddSub.h App/FeatureExtrude.cpp App/FeatureExtrude.h App/FeaturePad.cpp App/FeaturePrimitive.cpp App/FeatureSketchBased.cpp App/FeatureSketchBased.h
bd307d7cac	2024-04-10	bgbsww	fix		0	0	open	27	declined (Strips multi-solid logic from getSolid)	Toponaming/Part: Fix review items	App/Feature.cpp App/Feature.h
7bc2b3688a	2024-04-11	Zheng, Lei	?		0	0	open	23		TopoShape/Part: Bring in FeatureDressup	App/FeatureDressUp.cpp
5f2c412cfa	2024-04-11	bgbsww	refactor		0	0	open	107		Toponaming/Part: Clean and add tests	App/FeatureTransformed.cpp PartDesignTests/TestTopologicalNamingProblem.py
6c6dce236d	2024-04-11	Zheng, Lei	fix		0	0	open	17	have (findPlane(pln,tol,atol) is the fork's own code (TopoShape.h:318))	Bring in missing code	App/FeatureExtrude.cpp
b471435bc5	2024-04-10	bgbsww	refactor		0	0	open	75		Toponaming/Part: Add Pad test, cleanup	PartDesignTests/TestTopologicalNamingProblem.py
11b4d218bd	2024-04-10	bgbsww	?		0	0	open	56		Toponaming/Part: Enhanced testing for FeaturePrimitives	PartDesignTests/TestTopologicalNamingProblem.py
6291078939	2024-04-13	bgbsww	?		0	0	open	5		Toponaming/Part: Initialize the hasher so that it operates	PartDesignTests/TestTopologicalNamingProblem.py
2eb4689996	2024-04-10	bgbsww	refactor		0	0	open	75		Toponaming/Part: Add Pad test, cleanup	PartDesignTests/TestTopologicalNamingProblem.py
a88e7baff5	2024-04-13	bgbsww	fix		0	0	open	20	have (Fork is where this code came from (FeatureExtrude.cpp hasher, FaceMaker.cpp:6...)	TopoShape/Part:  Bug fixes; pass Hasher parms, OCCT 7.8 compatibility, ElementMaps correct item count	App/FeatureExtrude.cpp PartDesignTests/TestTopologicalNamingProblem.py
e05e17c954	2024-04-14	wmayer	fix		0	0	open	2	taken e762e7afb5	PD: Fixes #13446: Crash with hole in additive loft	App/FeatureHole.cpp
3d1f6199c4	2024-04-11	bgbsww	feature		0	0	open	68		TopoNaming/PartDesign: Implement shapebinders	App/ShapeBinder.cpp PartDesignTests/TestTopologicalNamingProblem.py
a4dd600ec6	2024-04-15	bgbsww	fix		0	0	open	2	have (Hasher.reset() at PartFeature.cpp:1037/1080/1162/1273)	Toponaming/Part: Fix hashing, hasher mismatches, and adjust test results to match	App/FeatureExtrude.cpp
fa8f29aed4	2024-04-25	bgbsww	fix		0	0	open	799	have (Upstream porting the fork's TopoShape-based PD back in)	Toponaming/Part: Fix all getBaseTopoShape calls.  Tests and missing code.	App/Feature.cpp App/FeatureChamfer.cpp App/FeatureDraft.cpp App/FeatureFillet.cpp App/FeatureGroove.cpp App/FeatureHelix.cpp App/FeatureHole.cpp App/FeatureLoft.cpp App/FeatureLoft.h App/FeaturePipe.cpp App/FeaturePipe.h App/FeaturePocket.cpp App/FeatureRevolution.cpp App/FeatureSketchBased.cpp App/FeatureThickness.cpp PartDesignTests/TestTopologicalNamingProblem.py
ed77603af9	2024-04-27	wmayer	fix		0	0	open	3	have (subReferenceAxis[0] accesses guarded (FeatureSketchBased.cpp:1099, 1151))	PD: Fixes crash if sub-element name of reference axis is empty	App/FeatureSketchBased.cpp
4f5dd40fa7	2024-01-14	hlorus	feature		0	0	open	85		[PD] Add handlers for unified measurement facility	App/AppPartDesign.cpp App/CMakeLists.txt App/Measure.cpp App/Measure.h
7ff4da5a27	2024-04-22	hlorus	?		0	0	open	27		[Part/PD] Remove measure tools	Gui/Workbench.cpp
56f84c8042	2024-04-30	wmayer	noise		0	0	open	3		Fix various compiler warnings:	App/FeatureExtrude.cpp App/FeatureSketchBased.cpp
f9b65e563d	2024-05-01	bgbsww	fix		0	0	open	94	declined (Deletes upstream's commented copies of code the fork runs)	Test for changed Sketches avoiding TNP	PartDesignTests/TestTopologicalNamingProblem.py
ad0cb61656	2024-05-02	bgbsww	?		0	0	open	405		Toponaming/Part: unify revolution changes	App/FeatureRevolution.cpp App/FeatureRevolution.h PartDesignTests/TestTopologicalNamingProblem.py
2bff3f5343	2024-05-03	bgbsww	noise		0	0	open	1		Lint corrections	PartDesignTests/TestTopologicalNamingProblem.py
9759da82e4	2024-05-06	Martin Rodriguez Reboredo	fix		0	0	open	10	taken e129e9e0d6 (PartDesign part)	Fixups with Qt6 enums (#13611)	InvoluteGearFeature.py SprocketFeature.py WizardShaft/WizardShaft.py
8fff92618c	2024-05-07	bgbsww	fix		0	0	open	259	n/a (Upstream port bug)	Toponaming/Part: Fix fillet/pad bug, add tests	PartDesignTests/TestTopologicalNamingProblem.py
71d96bccac	2024-05-07	bgbsww	fix		0	0	open	167	n/a (Upstream #ifdef around code the fork runs unconditionally)	Fix tests, slip in TNP defense	PartDesignTests/TestTopologicalNamingProblem.py
35b70acb33	2024-05-10	wmayer	noise		1	0	open	72		PD: Fix linter warnings	App/ShapeBinder.cpp
7d738f161a	2024-05-10	wmayer	fix		1	0	open	3	taken b9d82d07da	PD: Fix ShapeBinder::execute() if Support is empty	App/ShapeBinder.cpp
17d0ee3aca	2024-05-11	marcuspollio	?		0	0	open	50		PartDesign UI: Update Task panels titles and icons	Gui/TaskFeaturePick.cpp Gui/Workbench.cpp
45c4aefaae	2024-05-10	bgbsww	feature		0	0	open	284		Rework makeElementChamfer to match current parms, and add PartDesign code for Chamfers	App/FeatureChamfer.cpp App/FeatureDressUp.cpp App/FeatureDressUp.h App/FeaturePocket.cpp PartDesignTests/TestTopologicalNamingProblem.py
dbaaa95974	2024-05-10	bgbsww	feature		0	0	open	80		Rework makeElementChamfer to match current parms, and add PartDesign code for Chamfers	App/FeatureDressUp.cpp PartDesignTests/TestTopologicalNamingProblem.py
71892a1d72	2024-05-11	bgbsww	fix		0	0	open	80	have (Ports fork code into upstream (GeoFeature.h:184,207)	Toponaming: bring in missing code fragments in App	App/FeatureDressUp.cpp PartDesignTests/TestTopologicalNamingProblem.py
c734bfd53c	2024-05-10	bgbsww	feature		1	0	open	78		Rework makeElementChamfer to match current parms, and add PartDesign code for Chamfers	App/FeatureDressUp.cpp
84ae6b9b7b	2024-05-11	bgbsww	fix		0	1	have(rev)	78	have (The PD hunk only deletes a duplicate getContinuousEdges/getFaces)	Toponaming: bring in missing code fragments in Part	App/FeatureDressUp.cpp
f304b0123c	2024-05-11	bgbsww	fix		0	0	open	40	superseded (Fork's Feature::onChanged is its own design)	Toponaming: bring in missing code fragments in PartDesign	App/Feature.cpp App/Feature.h App/FeatureSketchBased.cpp
e7993e053f	2024-05-15	marcuspollio	feature		0	0	open	16		Address feedback	Gui/TaskTransformedMessages.cpp Gui/Workbench.cpp
b72a8c4222	2024-05-15	bgbsww	feature		0	0	open	307		Toponaming: Bring in Chamfer, Fillet code and add tests (#14035)	App/FeatureExtrude.cpp App/FeatureExtrude.h App/FeatureFillet.cpp App/FeatureLoft.cpp App/FeaturePad.cpp App/FeaturePocket.cpp App/FeaturePocket.h App/FeatureRevolution.cpp App/FeatureSketchBased.cpp App/FeatureSketchBased.h PartDesignTests/TestTopologicalNamingProblem.py
f662357537	2024-05-17	Andre Althaus	?		0	0	open	274		Change PartDesign Pad and Revolution tree icons	Gui/Resources/PartDesign.qrc Gui/Resources/icons/Tree_PartDesign_Pad.svg Gui/Resources/icons/Tree_PartDesign_Revolution.svg Gui/ViewProviderPad.cpp Gui/ViewProviderRevolution.cpp
2657bbee4d	2024-05-17	bgbsww	fix		0	0	open	2		Minor test tweaks, and small fixes to pass tests	PartDesignTests/TestTopologicalNamingProblem.py
9decb98c71	2024-05-18	bgbsww	?		0	0	open	3		Toponaming: adjust tests	PartDesignTests/TestTopologicalNamingProblem.py
86a865e7e0	2024-05-18	Andre Althaus	?		1	0	open	379		Make "Sketch" in Pad icon red	Gui/Resources/icons/PartDesign_Pad.svg
9b4c4ce60c	2024-05-18	Andre Althaus	refactor		0	0	open	24		Replace the yellow Part primitive toolbar icons with the blue tree icons	Gui/Workbench.cpp
428b8ba0bc	2024-05-19	Andre Althaus	refactor		0	0	open	597		Remove unused icons	Gui/Resources/PartDesign.qrc Gui/Resources/icons/PartDesign_Body_old.svg Gui/Resources/icons/PartDesign_InvoluteGear.svg
458d53c027	2024-05-19	Andre Althaus	?		0	0	open	325		Use Body toolbar icon for the tree	Gui/Resources/PartDesign.qrc Gui/Resources/icons/PartDesign_Body_Tree.svg Gui/ViewProviderBody.cpp
dd012f366a	2024-05-05	Max Wilfinger	feature		0	0	open	104		Update Part Design toolbars. Command group for datum. Removed ShapeBinder. Added CheckGeometry.	Gui/Command.cpp Gui/Workbench.cpp
935bdf9a0f	2024-05-11	Kacper Donat	refactor		0	0	open	87		PartDesign: Refactor single-solid rule enforcement	App/Feature.cpp App/Feature.h App/FeatureBoolean.cpp App/FeatureChamfer.cpp App/FeatureDraft.cpp App/FeatureFillet.cpp App/FeatureGroove.cpp App/FeatureHelix.cpp App/FeatureHole.cpp App/FeatureLoft.cpp App/FeaturePad.cpp App/FeaturePipe.cpp App/FeaturePocket.cpp App/FeaturePrimitive.cpp App/FeatureTransformed.cpp
f8c47b55cb	2024-05-11	Kacper Donat	feature		0	0	open	72		PartDesign: Introduce ability to disable single-solid rule	App/Body.cpp App/Body.h App/Feature.cpp App/Feature.h
3f2d5b83b5	2024-05-11	Kacper Donat	feature		0	0	open	6		Gui: Add ability to disable single-solid rule by default	App/Feature.cpp
5690eb8c75	2024-05-17	Florian Foinant-Willig	?		0	0	open	4		PartDesign: hide Suppressed property with FC_USE_TNP_FIX flag	App/Feature.cpp
040502280f	2024-05-20	bgbsww	refactor		0	0	open	294		Toponaming: Cleanup verified face calls	App/FeatureGroove.cpp App/FeatureHelix.cpp App/FeatureHole.cpp App/FeatureRevolution.cpp App/FeatureSketchBased.cpp PartDesignTests/TestTopologicalNamingProblem.py
5c84ce7317	2024-05-21	marcuspollio	?		0	0	open	42		Resolve conflicts	Gui/Workbench.cpp
ec841ed6d4	2024-05-19	Pieter Hijma	feature		0	0	open	9		Core: Add VarSets to Groups	App/Body.cpp Gui/ViewProviderBody.cpp
febe5c3d9e	2024-05-21	bgbsww	fix		0	0	open	3	n/a (Fork SubShapeBinder resolves mapped names natively (SubShapeBinder.cpp:444))	Toponaming: fix shapebinder selection error	App/ShapeBinder.cpp
12619b2c2d	2024-05-21	bgbsww	feature		0	0	open	31		TopoNaming: restore defenses against multisolids when enabled	App/FeatureChamfer.cpp App/FeatureExtrude.cpp App/FeatureFillet.cpp App/FeatureGroove.cpp App/FeatureLoft.cpp
0484592835	2024-05-21	wmayer	fix		0	0	open	10	n/a (Fork has no PartDesign_CompDatums/CompSketches group commands)	Fix accessibility of some group commands	Gui/Command.cpp
